[2026-05-01 20:18:45] | Category: Bai | Sample: cryg10000 | Dims(M,K,N,NNZ): 10000,10000,128,49699 | Perf: 113.862274 | Verify: SUCCESS
[2026-05-01 20:19:02] | Category: Bai | Sample: cryg2500 | Dims(M,K,N,NNZ): 2512,2512,128,12349 | Perf: 32.400646 | Verify: SUCCESS
[2026-05-01 20:19:17] | Category: Bai | Sample: dw1024 | Dims(M,K,N,NNZ): 2048,2048,128,10114 | Perf: 27.300547 | Verify: SUCCESS
[2026-05-01 20:19:32] | Category: Bai | Sample: dw2048 | Dims(M,K,N,NNZ): 2048,2048,128,10114 | Perf: 27.300547 | Verify: SUCCESS
[2026-05-01 20:19:41] | Category: Bai | Sample: dw256A | Dims(M,K,N,NNZ): 512,512,128,2480 | Perf: 10.540211 | Verify: SUCCESS
[2026-05-01 20:19:50] | Category: Bai | Sample: dw256B | Dims(M,K,N,NNZ): 512,512,128,2500 | Perf: 11.460229 | Verify: SUCCESS
[2026-05-01 20:20:29] | Category: Bai | Sample: dw4096 | Dims(M,K,N,NNZ): 8192,8192,128,41746 | Perf: 97.501953 | Verify: SUCCESS
[2026-05-01 20:21:08] | Category: Bai | Sample: dw8192 | Dims(M,K,N,NNZ): 8192,8192,128,41746 | Perf: 97.581955 | Verify: SUCCESS
[2026-05-01 20:21:17] | Category: Bai | Sample: dwa512 | Dims(M,K,N,NNZ): 512,512,128,2480 | Perf: 10.460209 | Verify: SUCCESS
[2026-05-01 20:21:26] | Category: Bai | Sample: dwb512 | Dims(M,K,N,NNZ): 512,512,128,2500 | Perf: 11.040221 | Verify: SUCCESS
[2026-05-01 20:21:34] | Category: Bai | Sample: lop163 | Dims(M,K,N,NNZ): 176,176,128,935 | Perf: 7.760155 | Verify: SUCCESS
[2026-05-01 20:22:06] | Category: Bai | Sample: mhd3200a | Dims(M,K,N,NNZ): 3200,3200,128,68026 | Perf: 44.600891 | Verify: SUCCESS
[2026-05-01 20:22:24] | Category: Bai | Sample: mhd3200b | Dims(M,K,N,NNZ): 3200,3200,128,10758 | Perf: 27.480549 | Verify: SUCCESS
[2026-05-01 20:23:08] | Category: Bai | Sample: mhd4800a | Dims(M,K,N,NNZ): 4800,4800,128,102252 | Perf: 65.301308 | Verify: SUCCESS
[2026-05-01 20:23:32] | Category: Bai | Sample: mhd4800b | Dims(M,K,N,NNZ): 4800,4800,128,16160 | Perf: 37.700752 | Verify: SUCCESS
[2026-05-01 20:23:42] | Category: Bai | Sample: mhda416 | Dims(M,K,N,NNZ): 416,416,128,8562 | Perf: 11.300226 | Verify: SUCCESS
