[2026-01-27 12:53:49] ColDense Individual Sample Performance
================================================================
Format: Category | Sample_Name | M | K | N | NNZ | WindowNum | BlockNum | FillRate | Performance(us)
Bai | tols1090 | 1104 | 1104 | 128 | 3546 | 69 | 134 | 0.1 | 13.900556
Bai | tols2000 | 2000 | 2000 | 128 | 5184 | 125 | 235 | 0.09 | 17.800713
Bai | tols340 | 352 | 352 | 128 | 2196 | 22 | 48 | 0.18 | 9.220368
Bai | tols4000 | 4000 | 4000 | 128 | 8784 | 250 | 460 | 0.07 | 20.560822
Bai | tols90 | 96 | 96 | 128 | 1746 | 6 | 19 | 0.36 | 6.840273
Bai | tub100 | 112 | 112 | 128 | 396 | 7 | 13 | 0.12 | 5.700228
Bai | tub1000 | 1008 | 1008 | 128 | 3996 | 63 | 125 | 0.12 | 8.440337
Gset | G10 | 800 | 800 | 128 | 19176 | 50 | 811 | 0.09 | 45.401817
Gset | G11 | 800 | 800 | 128 | 1600 | 50 | 99 | 0.06 | 7.700308
Gset | G12 | 800 | 800 | 128 | 1600 | 50 | 100 | 0.06 | 7.520301
Gset | G13 | 800 | 800 | 128 | 1600 | 50 | 125 | 0.05 | 8.580343
Gset | G18 | 800 | 800 | 128 | 4694 | 50 | 252 | 0.07 | 12.540502
Gset | G19 | 800 | 800 | 128 | 4661 | 50 | 245 | 0.07 | 11.800472
Gset | G20 | 800 | 800 | 128 | 4672 | 50 | 250 | 0.07 | 12.420497
Gset | G21 | 800 | 800 | 128 | 4667 | 50 | 251 | 0.07 | 12.340493
Gset | G27 | 2000 | 2000 | 128 | 19990 | 125 | 1222 | 0.06 | 64.042564
Gset | G28 | 2000 | 2000 | 128 | 19990 | 125 | 1228 | 0.06 | 65.022598
Gset | G29 | 2000 | 2000 | 128 | 19990 | 125 | 1219 | 0.06 | 64.302574
Gset | G30 | 2000 | 2000 | 128 | 19990 | 125 | 1219 | 0.06 | 61.942478
Gset | G31 | 2000 | 2000 | 128 | 19990 | 125 | 1217 | 0.06 | 64.582581
Gset | G32 | 2000 | 2000 | 128 | 4000 | 125 | 276 | 0.06 | 13.320533
Gset | G33 | 2000 | 2000 | 128 | 4000 | 125 | 256 | 0.06 | 12.920517
Gset | G34 | 2000 | 2000 | 128 | 4000 | 125 | 276 | 0.06 | 13.780551
Gset | G39 | 2000 | 2000 | 128 | 11778 | 125 | 697 | 0.07 | 24.500980
Gset | G40 | 2000 | 2000 | 128 | 11766 | 125 | 704 | 0.07 | 25.561022
Gset | G41 | 2000 | 2000 | 128 | 11785 | 125 | 700 | 0.07 | 24.300972
Gset | G42 | 2000 | 2000 | 128 | 11779 | 125 | 692 | 0.07 | 24.920998
Gset | G56 | 5008 | 5008 | 128 | 12498 | 313 | 931 | 0.05 | 48.081924
Gset | G57 | 5008 | 5008 | 128 | 10000 | 313 | 638 | 0.06 | 22.960918
Gset | G59 | 5008 | 5008 | 128 | 29570 | 313 | 1823 | 0.06 | 55.322212
Gset | G6 | 800 | 800 | 128 | 19176 | 50 | 810 | 0.09 | 43.221729
Gset | G61 | 7008 | 7008 | 128 | 17148 | 438 | 1272 | 0.05 | 66.782669
Gset | G62 | 7008 | 7008 | 128 | 14000 | 438 | 888 | 0.06 | 30.221209
Gset | G64 | 7008 | 7008 | 128 | 41459 | 438 | 2572 | 0.06 | 77.723106
Gset | G65 | 8000 | 8000 | 128 | 16000 | 500 | 1100 | 0.06 | 36.521461
Gset | G66 | 9008 | 9008 | 128 | 18000 | 563 | 1148 | 0.06 | 38.941559
Gset | G67 | 10000 | 10000 | 128 | 20000 | 625 | 1276 | 0.06 | 44.521782
Gset | G7 | 800 | 800 | 128 | 19176 | 50 | 812 | 0.09 | 43.961758
Gset | G8 | 800 | 800 | 128 | 19176 | 50 | 805 | 0.09 | 43.561741
Gset | G9 | 800 | 800 | 128 | 19176 | 50 | 814 | 0.09 | 44.201767
HB | 1138_bus | 1152 | 1152 | 128 | 2596 | 72 | 152 | 0.07 | 9.580383
HB | 494_bus | 496 | 496 | 128 | 1080 | 31 | 68 | 0.06 | 6.860274
HB | 662_bus | 672 | 672 | 128 | 1568 | 42 | 105 | 0.06 | 8.960359
HB | 685_bus | 688 | 688 | 128 | 1967 | 43 | 100 | 0.08 | 8.080323
HB | arc130 | 144 | 144 | 128 | 1282 | 9 | 30 | 0.17 | 8.860354
HB | bcsstk01 | 48 | 48 | 128 | 224 | 3 | 6 | 0.15 | 8.460339
HB | bcsstk02 | 80 | 80 | 128 | 2211 | 5 | 15 | 0.58 | 6.620265
HB | bcsstk03 | 112 | 112 | 128 | 376 | 7 | 13 | 0.11 | 5.480219
HB | bcsstk04 | 144 | 144 | 128 | 1890 | 9 | 26 | 0.28 | 7.400296
HB | bcsstk05 | 160 | 160 | 128 | 1288 | 10 | 21 | 0.24 | 6.480259
HB | bcsstk06 | 432 | 432 | 128 | 4140 | 27 | 76 | 0.21 | 7.740310
HB | bcsstk07 | 432 | 432 | 128 | 4140 | 27 | 76 | 0.21 | 7.700308
HB | bcsstk08 | 1088 | 1088 | 128 | 7017 | 68 | 235 | 0.12 | 15.180607
HB | bcsstk09 | 1088 | 1088 | 128 | 9760 | 68 | 198 | 0.19 | 10.700428
HB | bcsstk10 | 1088 | 1088 | 128 | 11578 | 68 | 226 | 0.2 | 11.760470
HB | bcsstk11 | 1488 | 1488 | 128 | 17857 | 93 | 275 | 0.25 | 12.420497
HB | bcsstk12 | 1488 | 1488 | 128 | 17857 | 93 | 275 | 0.25 | 12.500500
HB | bcsstk13 | 2016 | 2016 | 128 | 42943 | 126 | 675 | 0.25 | 32.401295
HB | bcsstk14 | 1808 | 1808 | 128 | 32630 | 113 | 438 | 0.29 | 18.440737
HB | bcsstk15 | 3952 | 3952 | 128 | 60882 | 247 | 1139 | 0.21 | 40.861633
HB | bcsstk16 | 4896 | 4896 | 128 | 147631 | 306 | 1618 | 0.36 | 50.722031
HB | bcsstk17 | 10976 | 10976 | 128 | 219812 | 686 | 2852 | 0.3 | 97.023880
HB | bcsstk18 | 11952 | 11952 | 128 | 80519 | 747 | 2684 | 0.12 | 90.283615
HB | bcsstk19 | 832 | 832 | 128 | 3835 | 52 | 102 | 0.15 | 8.380335
HB | bcsstk20 | 496 | 496 | 128 | 1810 | 31 | 60 | 0.12 | 6.960279
HB | bcsstk21 | 3600 | 3600 | 128 | 15100 | 225 | 667 | 0.09 | 24.320972
HB | bcsstk22 | 144 | 144 | 128 | 417 | 9 | 17 | 0.1 | 5.800232
HB | bcsstk23 | 3136 | 3136 | 128 | 24156 | 196 | 726 | 0.13 | 27.621105
