[2026-04-25 16:31:24] | Category: Bai | Sample: mhd4800b | Dims(M,K,N,NNZ): 4800,4800,128,16160 | Perf: 38.180763 | Verify: SUCCESS

[2026-04-25 16:31:33] | Category: Bai | Sample: mhda416 | Dims(M,K,N,NNZ): 416,416,128,8562 | Perf: 10.460209 | Verify: SUCCESS

[2026-04-25 16:31:41] | Category: Bai | Sample: mhdb416 | Dims(M,K,N,NNZ): 416,416,128,1364 | Perf: 8.700174 | Verify: SUCCESS

[2026-04-25 16:31:49] | Category: Bai | Sample: odepa400 | Dims(M,K,N,NNZ): 400,400,128,1201 | Perf: 8.680174 | Verify: SUCCESS

[2026-04-25 16:31:57] | Category: Bai | Sample: odepb400 | Dims(M,K,N,NNZ): 400,400,128,399 | Perf: 6.760135 | Verify: SUCCESS

[2026-04-25 16:32:04] | Category: Bai | Sample: olm100 | Dims(M,K,N,NNZ): 112,112,128,396 | Perf: 7.060141 | Verify: SUCCESS

[2026-04-25 16:32:13] | Category: Bai | Sample: olm1000 | Dims(M,K,N,NNZ): 1008,1008,128,3996 | Perf: 14.180284 | Verify: SUCCESS

[2026-04-25 16:32:27] | Category: Bai | Sample: olm500 | Dims(M,K,N,NNZ): 512,512,128,1996 | Perf: 9.680194 | Verify: SUCCESS

[2026-04-25 16:32:48] | Category: Bai | Sample: pde225 | Dims(M,K,N,NNZ): 240,240,128,1065 | Perf: 8.460169 | Verify: SUCCESS

[2026-04-25 16:33:03] | Category: Bai | Sample: pde2961 | Dims(M,K,N,NNZ): 2976,2976,128,14585 | Perf: 37.400749 | Verify: SUCCESS

[2026-04-25 16:33:13] | Category: Bai | Sample: pde900 | Dims(M,K,N,NNZ): 912,912,128,4380 | Perf: 15.720314 | Verify: SUCCESS

[2026-04-25 16:33:24] | Category: Bai | Sample: qh1484 | Dims(M,K,N,NNZ): 1488,1488,128,6110 | Perf: 17.600351 | Verify: SUCCESS

[2026-04-25 16:33:33] | Category: Bai | Sample: qh768 | Dims(M,K,N,NNZ): 768,768,128,2934 | Perf: 11.740234 | Verify: SUCCESS

[2026-04-25 16:33:42] | Category: Bai | Sample: qh882 | Dims(M,K,N,NNZ): 896,896,128,3354 | Perf: 12.520250 | Verify: SUCCESS

[2026-04-25 16:33:51] | Category: Bai | Sample: rbsa480 | Dims(M,K,N,NNZ): 480,480,128,17088 | Perf: 13.980280 | Verify: SUCCESS

[2026-04-25 16:34:00] | Category: Bai | Sample: rbsb480 | Dims(M,K,N,NNZ): 480,480,128,17088 | Perf: 14.660294 | Verify: SUCCESS

[2026-04-25 16:34:11] | Category: Bai | Sample: rdb1250 | Dims(M,K,N,NNZ): 1264,1264,128,7300 | Perf: 21.600431 | Verify: SUCCESS

[2026-04-25 16:34:22] | Category: Bai | Sample: rdb1250l | Dims(M,K,N,NNZ): 1264,1264,128,7300 | Perf: 21.860437 | Verify: SUCCESS

[2026-04-25 16:34:29] | Category: Bai | Sample: rdb200 | Dims(M,K,N,NNZ): 208,208,128,1120 | Perf: 8.260165 | Verify: SUCCESS

[2026-04-25 16:34:38] | Category: Bai | Sample: rdb200l | Dims(M,K,N,NNZ): 208,208,128,1120 | Perf: 8.240165 | Verify: SUCCESS

[2026-04-25 16:34:50] | Category: Bai | Sample: rdb2048 | Dims(M,K,N,NNZ): 2048,2048,128,12032 | Perf: 32.120644 | Verify: SUCCESS

[2026-04-25 16:35:03] | Category: Bai | Sample: rdb2048_noL | Dims(M,K,N,NNZ): 2048,2048,128,12032 | Perf: 32.000641 | Verify: SUCCESS

[2026-04-25 16:35:19] | Category: Bai | Sample: rdb3200l | Dims(M,K,N,NNZ): 3200,3200,128,18880 | Perf: 47.320946 | Verify: SUCCESS

[2026-04-25 16:35:27] | Category: Bai | Sample: rdb450 | Dims(M,K,N,NNZ): 464,464,128,2580 | Perf: 11.160223 | Verify: SUCCESS

[2026-04-25 16:35:35] | Category: Bai | Sample: rdb450l | Dims(M,K,N,NNZ): 464,464,128,2580 | Perf: 11.340227 | Verify: SUCCESS

[2026-04-25 16:35:55] | Category: Bai | Sample: rdb5000 | Dims(M,K,N,NNZ): 5008,5008,128,29600 | Perf: 69.741394 | Verify: SUCCESS

[2026-04-25 16:36:04] | Category: Bai | Sample: rdb800l | Dims(M,K,N,NNZ): 800,800,128,4640 | Perf: 15.540311 | Verify: SUCCESS

[2026-04-25 16:36:14] | Category: Bai | Sample: rdb968 | Dims(M,K,N,NNZ): 976,976,128,5632 | Perf: 18.200363 | Verify: SUCCESS

[2026-04-25 16:36:21] | Category: Bai | Sample: rw136 | Dims(M,K,N,NNZ): 144,144,128,479 | Perf: 7.260145 | Verify: SUCCESS

[2026-04-25 16:36:30] | Category: Bai | Sample: rw496 | Dims(M,K,N,NNZ): 496,496,128,1859 | Perf: 11.720235 | Verify: SUCCESS

[2026-04-25 16:36:50] | Category: Bai | Sample: rw5151 | Dims(M,K,N,NNZ): 5152,5152,128,20199 | Perf: 71.101425 | Verify: SUCCESS

[2026-04-25 16:37:00] | Category: Bai | Sample: tols1090 | Dims(M,K,N,NNZ): 1104,1104,128,3546 | Perf: 13.180264 | Verify: SUCCESS

[2026-04-25 16:37:12] | Category: Bai | Sample: tols2000 | Dims(M,K,N,NNZ): 2000,2000,128,5184 | Perf: 18.600372 | Verify: SUCCESS

[2026-04-25 16:37:20] | Category: Bai | Sample: tols340 | Dims(M,K,N,NNZ): 352,352,128,2196 | Perf: 8.200164 | Verify: SUCCESS

[2026-04-25 16:37:37] | Category: Bai | Sample: tols4000 | Dims(M,K,N,NNZ): 4000,4000,128,8784 | Perf: 30.460609 | Verify: SUCCESS

[2026-04-25 16:37:44] | Category: Bai | Sample: tols90 | Dims(M,K,N,NNZ): 96,96,128,1746 | Perf: 6.640133 | Verify: SUCCESS

[2026-04-25 16:37:51] | Category: Bai | Sample: tub100 | Dims(M,K,N,NNZ): 112,112,128,396 | Perf: 6.900138 | Verify: SUCCESS

[2026-04-25 16:38:01] | Category: Bai | Sample: tub1000 | Dims(M,K,N,NNZ): 1008,1008,128,3996 | Perf: 15.500310 | Verify: SUCCESS

[2026-04-25 16:38:11] | Category: Gset | Sample: G10 | Dims(M,K,N,NNZ): 800,800,128,19176 | Perf: 48.060963 | Verify: SUCCESS

[2026-04-25 16:38:20] | Category: Gset | Sample: G11 | Dims(M,K,N,NNZ): 800,800,128,1600 | Perf: 10.900218 | Verify: SUCCESS

[2026-04-25 16:38:29] | Category: Gset | Sample: G12 | Dims(M,K,N,NNZ): 800,800,128,1600 | Perf: 10.680214 | Verify: SUCCESS

[2026-04-25 16:38:38] | Category: Gset | Sample: G13 | Dims(M,K,N,NNZ): 800,800,128,1600 | Perf: 10.800216 | Verify: SUCCESS

[2026-04-25 16:38:49] | Category: Gset | Sample: G18 | Dims(M,K,N,NNZ): 800,800,128,4694 | Perf: 16.280325 | Verify: SUCCESS

[2026-04-25 16:38:58] | Category: Gset | Sample: G19 | Dims(M,K,N,NNZ): 800,800,128,4661 | Perf: 16.280325 | Verify: SUCCESS

[2026-04-25 16:39:09] | Category: Gset | Sample: G20 | Dims(M,K,N,NNZ): 800,800,128,4672 | Perf: 16.700335 | Verify: SUCCESS

[2026-04-25 16:39:18] | Category: Gset | Sample: G21 | Dims(M,K,N,NNZ): 800,800,128,4667 | Perf: 15.580312 | Verify: SUCCESS

[2026-04-25 16:39:31] | Category: Gset | Sample: G27 | Dims(M,K,N,NNZ): 2000,2000,128,19990 | Perf: 68.441368 | Verify: SUCCESS

[2026-04-25 16:39:44] | Category: Gset | Sample: G28 | Dims(M,K,N,NNZ): 2000,2000,128,19990 | Perf: 69.861397 | Verify: SUCCESS

[2026-04-25 16:39:57] | Category: Gset | Sample: G29 | Dims(M,K,N,NNZ): 2000,2000,128,19990 | Perf: 67.961357 | Verify: SUCCESS

[2026-04-25 16:40:11] | Category: Gset | Sample: G30 | Dims(M,K,N,NNZ): 2000,2000,128,19990 | Perf: 68.701370 | Verify: SUCCESS

[2026-04-25 16:40:24] | Category: Gset | Sample: G31 | Dims(M,K,N,NNZ): 2000,2000,128,19990 | Perf: 68.361366 | Verify: SUCCESS

[2026-04-25 16:40:35] | Category: Gset | Sample: G32 | Dims(M,K,N,NNZ): 2000,2000,128,4000 | Perf: 19.500389 | Verify: SUCCESS

[2026-04-25 16:40:47] | Category: Gset | Sample: G33 | Dims(M,K,N,NNZ): 2000,2000,128,4000 | Perf: 19.520390 | Verify: SUCCESS

[2026-04-25 16:40:59] | Category: Gset | Sample: G34 | Dims(M,K,N,NNZ): 2000,2000,128,4000 | Perf: 19.680393 | Verify: SUCCESS

[2026-04-25 16:41:12] | Category: Gset | Sample: G39 | Dims(M,K,N,NNZ): 2000,2000,128,11778 | Perf: 33.160664 | Verify: SUCCESS

[2026-04-25 16:41:25] | Category: Gset | Sample: G40 | Dims(M,K,N,NNZ): 2000,2000,128,11766 | Perf: 33.820675 | Verify: SUCCESS

[2026-04-25 16:41:38] | Category: Gset | Sample: G41 | Dims(M,K,N,NNZ): 2000,2000,128,11785 | Perf: 33.520672 | Verify: SUCCESS

[2026-04-25 16:41:51] | Category: Gset | Sample: G42 | Dims(M,K,N,NNZ): 2000,2000,128,11779 | Perf: 33.140663 | Verify: SUCCESS

[2026-04-25 16:42:10] | Category: Gset | Sample: G56 | Dims(M,K,N,NNZ): 5008,5008,128,12498 | Perf: 47.480949 | Verify: SUCCESS

[2026-04-25 16:42:33] | Category: Gset | Sample: G57 | Dims(M,K,N,NNZ): 5008,5008,128,10000 | Perf: 39.140781 | Verify: SUCCESS

[2026-04-25 16:42:55] | Category: Gset | Sample: G59 | Dims(M,K,N,NNZ): 5008,5008,128,29570 | Perf: 79.881599 | Verify: SUCCESS

[2026-04-25 16:43:05] | Category: Gset | Sample: G6 | Dims(M,K,N,NNZ): 800,800,128,19176 | Perf: 47.960960 | Verify: SUCCESS

[2026-04-25 16:43:29] | Category: Gset | Sample: G61 | Dims(M,K,N,NNZ): 7008,7008,128,17148 | Perf: 63.541271 | Verify: SUCCESS

[2026-04-25 16:43:53] | Category: Gset | Sample: G62 | Dims(M,K,N,NNZ): 7008,7008,128,14000 | Perf: 53.361069 | Verify: SUCCESS

[2026-04-25 16:44:20] | Category: Gset | Sample: G64 | Dims(M,K,N,NNZ): 7008,7008,128,41459 | Perf: 110.042198 | Verify: SUCCESS

[2026-04-25 16:44:47] | Category: Gset | Sample: G65 | Dims(M,K,N,NNZ): 8000,8000,128,16000 | Perf: 60.121201 | Verify: SUCCESS

[2026-04-25 16:45:17] | Category: Gset | Sample: G66 | Dims(M,K,N,NNZ): 9008,9008,128,18000 | Perf: 66.541328 | Verify: SUCCESS

[2026-04-25 16:45:49] | Category: Gset | Sample: G67 | Dims(M,K,N,NNZ): 10000,10000,128,20000 | Perf: 73.221466 | Verify: SUCCESS

[2026-04-25 16:45:59] | Category: Gset | Sample: G7 | Dims(M,K,N,NNZ): 800,800,128,19176 | Perf: 47.320946 | Verify: SUCCESS

[2026-04-25 16:46:10] | Category: Gset | Sample: G8 | Dims(M,K,N,NNZ): 800,800,128,19176 | Perf: 47.880959 | Verify: SUCCESS

[2026-04-25 16:46:20] | Category: Gset | Sample: G9 | Dims(M,K,N,NNZ): 800,800,128,19176 | Perf: 47.440948 | Verify: SUCCESS

[2026-04-25 16:46:29] | Category: HB | Sample: 1138_bus | Dims(M,K,N,NNZ): 1152,1152,128,2596 | Perf: 13.240265 | Verify: SUCCESS

[2026-04-25 16:46:37] | Category: HB | Sample: 494_bus | Dims(M,K,N,NNZ): 496,496,128,1080 | Perf: 9.400188 | Verify: SUCCESS

[2026-04-25 16:46:46] | Category: HB | Sample: 662_bus | Dims(M,K,N,NNZ): 672,672,128,1568 | Perf: 10.160203 | Verify: SUCCESS

[2026-04-25 16:46:55] | Category: HB | Sample: 685_bus | Dims(M,K,N,NNZ): 688,688,128,1967 | Perf: 11.220224 | Verify: SUCCESS

[2026-04-25 16:47:02] | Category: HB | Sample: arc130 | Dims(M,K,N,NNZ): 144,144,128,1282 | Perf: 7.640153 | Verify: SUCCESS

[2026-04-25 16:47:09] | Category: HB | Sample: bcsstk01 | Dims(M,K,N,NNZ): 48,48,128,224 | Perf: 6.420128 | Verify: SUCCESS

[2026-04-25 16:47:16] | Category: HB | Sample: bcsstk02 | Dims(M,K,N,NNZ): 80,80,128,2211 | Perf: 6.940139 | Verify: FAILED

[2026-04-25 16:47:23] | Category: HB | Sample: bcsstk03 | Dims(M,K,N,NNZ): 112,112,128,376 | Perf: 6.700134 | Verify: SUCCESS

[2026-04-25 16:47:30] | Category: HB | Sample: bcsstk04 | Dims(M,K,N,NNZ): 144,144,128,1890 | Perf: 8.020161 | Verify: SUCCESS

[2026-04-25 16:47:37] | Category: HB | Sample: bcsstk05 | Dims(M,K,N,NNZ): 160,160,128,1288 | Perf: 7.000140 | Verify: SUCCESS

[2026-04-25 16:47:46] | Category: HB | Sample: bcsstk06 | Dims(M,K,N,NNZ): 432,432,128,4140 | Perf: 10.580212 | Verify: SUCCESS

[2026-04-25 16:47:54] | Category: HB | Sample: bcsstk07 | Dims(M,K,N,NNZ): 432,432,128,4140 | Perf: 10.380208 | Verify: SUCCESS

[2026-04-25 16:48:04] | Category: HB | Sample: bcsstk08 | Dims(M,K,N,NNZ): 1088,1088,128,7017 | Perf: 18.260365 | Verify: SUCCESS

[2026-04-25 16:48:15] | Category: HB | Sample: bcsstk09 | Dims(M,K,N,NNZ): 1088,1088,128,9760 | Perf: 16.560331 | Verify: SUCCESS

[2026-04-25 16:48:25] | Category: HB | Sample: bcsstk10 | Dims(M,K,N,NNZ): 1088,1088,128,11578 | Perf: 15.400308 | Verify: SUCCESS

[2026-04-25 16:48:36] | Category: HB | Sample: bcsstk11 | Dims(M,K,N,NNZ): 1488,1488,128,17857 | Perf: 20.860416 | Verify: SUCCESS

[2026-04-25 16:48:47] | Category: HB | Sample: bcsstk12 | Dims(M,K,N,NNZ): 1488,1488,128,17857 | Perf: 21.000420 | Verify: SUCCESS

[2026-04-25 16:49:02] | Category: HB | Sample: bcsstk13 | Dims(M,K,N,NNZ): 2016,2016,128,42943 | Perf: 50.721016 | Verify: SUCCESS

[2026-04-25 16:49:14] | Category: HB | Sample: bcsstk14 | Dims(M,K,N,NNZ): 1808,1808,128,32630 | Perf: 30.760614 | Verify: SUCCESS

[2026-04-25 16:49:35] | Category: HB | Sample: bcsstk15 | Dims(M,K,N,NNZ): 3952,3952,128,60882 | Perf: 64.681297 | Verify: SUCCESS

[2026-04-25 16:50:02] | Category: HB | Sample: bcsstk16 | Dims(M,K,N,NNZ): 4896,4896,128,147631 | Perf: 89.821800 | Verify: SUCCESS

[2026-04-25 16:50:49] | Category: HB | Sample: bcsstk17 | Dims(M,K,N,NNZ): 10976,10976,128,219812 | Perf: 156.503128 | Verify: SUCCESS

[2026-04-25 16:51:30] | Category: HB | Sample: bcsstk18 | Dims(M,K,N,NNZ): 11952,11952,128,80519 | Perf: 126.402527 | Verify: SUCCESS

[2026-04-25 16:51:39] | Category: HB | Sample: bcsstk19 | Dims(M,K,N,NNZ): 832,832,128,3835 | Perf: 12.220244 | Verify: SUCCESS

[2026-04-25 16:51:48] | Category: HB | Sample: bcsstk20 | Dims(M,K,N,NNZ): 496,496,128,1810 | Perf: 9.720195 | Verify: SUCCESS

[2026-04-25 16:52:03] | Category: HB | Sample: bcsstk21 | Dims(M,K,N,NNZ): 3600,3600,128,15100 | Perf: 40.780815 | Verify: SUCCESS

[2026-04-25 16:52:11] | Category: HB | Sample: bcsstk22 | Dims(M,K,N,NNZ): 144,144,128,417 | Perf: 6.920138 | Verify: SUCCESS

[2026-04-25 16:52:26] | Category: HB | Sample: bcsstk23 | Dims(M,K,N,NNZ): 3136,3136,128,24156 | Perf: 43.780876 | Verify: SUCCESS

[2026-04-25 16:52:46] | Category: HB | Sample: bcsstk24 | Dims(M,K,N,NNZ): 3568,3568,128,81736 | Perf: 50.221004 | Verify: SUCCESS

[2026-04-25 16:53:38] | Category: HB | Sample: bcsstk25 | Dims(M,K,N,NNZ): 15440,15440,128,133840 | Perf: 178.423569 | Verify: SUCCESS

[2026-04-25 16:53:51] | Category: HB | Sample: bcsstk26 | Dims(M,K,N,NNZ): 1936,1936,128,16129 | Perf: 23.340467 | Verify: SUCCESS

[2026-04-25 16:54:02] | Category: HB | Sample: bcsstk27 | Dims(M,K,N,NNZ): 1232,1232,128,28675 | Perf: 20.900417 | Verify: SUCCESS

[2026-04-25 16:54:24] | Category: HB | Sample: bcsstm01 | Dims(M,K,N,NNZ): 48,48,128,48 | Perf: 6.940139 | Verify: SUCCESS

[2026-04-25 16:54:31] | Category: HB | Sample: bcsstm02 | Dims(M,K,N,NNZ): 80,80,128,66 | Perf: 6.660133 | Verify: SUCCESS

[2026-04-25 16:54:38] | Category: HB | Sample: bcsstm03 | Dims(M,K,N,NNZ): 112,112,128,112 | Perf: 6.440129 | Verify: SUCCESS

[2026-04-25 16:54:45] | Category: HB | Sample: bcsstm04 | Dims(M,K,N,NNZ): 144,144,128,132 | Perf: 6.860137 | Verify: SUCCESS

